iter	RMSE
0	4.678289938
1	4.377355185
2	4.109120527
3	3.868285983
4	3.649865432
5	3.487498522
6	3.308363446
7	3.12752537
8	2.958044934
9	2.805824411
10	2.666241212
11	2.546339252
12	2.43679507
13	2.322521681
14	2.228466095
15	2.13544722
16	2.046668615
17	1.973383088
18	1.904064857
19	1.847843761
20	1.78292813
21	1.729671378
22	1.691200595
23	1.645247723
24	1.625472138
25	1.574665948
26	1.529807065
27	1.492568333
28	1.44904843
29	1.412864081
30	1.393533605
31	1.371981488
32	1.357411317
33	1.327569967
34	1.313306712
35	1.297189944
36	1.266356391
37	1.236525815
38	1.20362077
39	1.191267796
40	1.179262329
41	1.168307069
42	1.152435551
43	1.115289719
44	1.105460436
45	1.096129398
46	1.071612544
47	1.053552528
48	1.036060708
49	1.005508316
50	0.9848964998
51	0.9758610136
52	0.9585012964
53	0.9488952593
54	0.9365655509
55	0.9297597767
56	0.9168560148
57	0.9104649082
58	0.9044572774
59	0.8844367689
60	0.8788598466
61	0.8588016386
62	0.8535130859
63	0.8485419776
64	0.8436947804
65	0.8387612977
66	0.8172471028
67	0.7975531551
68	0.7934785661
69	0.7895678736
70	0.7770180977
71	0.7719328981
72	0.7677839296
73	0.7492076076
74	0.7460057371
75	0.7429869454
76	0.7331398607
77	0.7223500768
78	0.7074111377
79	0.6962951078
80	0.6917725327
81	0.6893623318
82	0.6807564491
83	0.6774043285
84	0.6636187249
85	0.6609502461
86	0.6571247939
87	0.6495632369
88	0.6461526902
89	0.6354271795
90	0.6231017464
91	0.6124492729
92	0.6093567706
93	0.6060405259
94	0.6005229157
95	0.5978201122
96	0.5948821804
97	0.5854577363
98	0.5828003797
99	0.5737586785
100	0.5712543058
101	0.5632468993
102	0.5611588288
103	0.5591516799
104	0.5572346026
105	0.5522046979
106	0.5504576692
107	0.5490719868
108	0.5472518453
109	0.5461870516
110	0.5397626947
111	0.5380760846
112	0.5321886892
113	0.5306361227
114	0.5291572002
115	0.5220281504
116	0.515374784
117	0.5101967363
118	0.5089013742
119	0.5038236716
120	0.5026297367
121	0.5018422143
122	0.4957548053
123	0.4946356062
124	0.49232384
125	0.4913341279
126	0.4905359806
127	0.4900275652
128	0.4849340074
129	0.4807953215
130	0.4747401248
131	0.471002131
132	0.468327051
133	0.4659777074
134	0.4638339852
135	0.462773302
136	0.4612778356
137	0.456937653
138	0.4545594274
139	0.4536535761
140	0.4513286952
141	0.4504643128
142	0.4474327437
143	0.4454331405
144	0.4425308953
145	0.4407693955
146	0.4381983616
147	0.437373967
148	0.4351878869
149	0.434969475
150	0.4318469303
151	0.4303348177
152	0.4260227955
153	0.4208712872
154	0.4169049052
155	0.4158385815
156	0.4115715726
157	0.4097094807
158	0.4081877797
159	0.4056535368
160	0.4046217792
161	0.4005791425
162	0.3994731113
163	0.398532528
164	0.3951915332
165	0.3915384848
166	0.3881382465
167	0.3844619491
168	0.3817757356
169	0.3808827467
170	0.3792610271
171	0.3759311485
172	0.371849166
173	0.3713351873
174	0.3690969698
175	0.3674476674
176	0.3664387267
177	0.3658984085
178	0.3651895832
179	0.3620352796
180	0.3616934533
181	0.3574681685
182	0.3567893859
183	0.3537898242
184	0.349550381
185	0.3481399878
186	0.3467813089
187	0.3433372427
188	0.3426868992
189	0.3414195476
190	0.3383322946
191	0.3362104966
192	0.3356079562
193	0.3337849397
194	0.3312768425
195	0.3285438486
196	0.326282025
197	0.3237909879
198	0.3202730876
199	0.318271992
200	0.3175367926
201	0.3165743775
202	0.3155165168
203	0.3151899584
204	0.3145283076
205	0.3129378649
206	0.3120133054
207	0.3117474621
208	0.3110135636
209	0.3088558363
210	0.3080987568
211	0.3058992266
212	0.304152482
213	0.3039181334
214	0.3014094561
215	0.2991351158
216	0.2963806651
217	0.2956656166
218	0.2941147644
219	0.2923707843
220	0.2915719209
221	0.2899600992
222	0.2893118459
223	0.2886976417
224	0.2870487823
225	0.2856040281
226	0.2841454494
227	0.2828125858
228	0.2822245518
229	0.2808953686
230	0.2806123394
231	0.2798026544
232	0.2786676941
233	0.2769916285
234	0.2762226078
235	0.275611808
236	0.2733645552
237	0.2719145736
238	0.2700261263
239	0.267836727
240	0.266869949
241	0.2654949467
242	0.264020569
243	0.2636967189
244	0.2624483053
245	0.2622649671
246	0.2607508851
247	0.2587011881
248	0.2576721555
249	0.2552983526
250	0.2549496143
251	0.2533387846
252	0.2529365395
253	0.2519673062
254	0.2510810229
255	0.2505566304
256	0.249205025
257	0.2481607107
258	0.2474735434
259	0.2460739515
260	0.2449096667
261	0.2437176316
262	0.2414946028
263	0.239153577
264	0.237118013
265	0.2364275144
266	0.2354858141
267	0.2345226414
268	0.2330892224
269	0.2325429907
270	0.2323008606
271	0.2312763937
272	0.2308222548
273	0.2283982147
274	0.2279804367
275	0.2270606648
276	0.2267638268
277	0.2259606897
278	0.2247989003
279	0.2241492471
280	0.2234296856
281	0.222361289
282	0.2210672101
283	0.2204467169
284	0.219565269
285	0.2191430104
286	0.2181474737
287	0.2176069854
288	0.2171338049
289	0.2167460842
290	0.2156819714
291	0.2145734514
292	0.2142788791
293	0.2129326548
294	0.2114991656
295	0.2110908884
296	0.209963062
297	0.208935074
298	0.2086238626
299	0.2078951117
300	0.2076145697
301	0.2072761512
302	0.2055692288
303	0.2046351474
304	0.2040260912
305	0.2038388937
306	0.2033718291
307	0.2030026547
308	0.2023453817
309	0.2017730686
310	0.2014713844
311	0.2001240048
312	0.1989732142
313	0.1983141697
314	0.1970446501
315	0.1965746215
316	0.195139763
317	0.1944892786
318	0.1934232994
319	0.1932100446
320	0.1927243616
321	0.1919768829
322	0.1916137986
323	0.1915038398
324	0.1901090649
325	0.1897364426
326	0.1894709241
327	0.1888308293
328	0.1880828775
329	0.1878713395
330	0.1872690339
331	0.1867209087
332	0.1856513544
333	0.1854876147
334	0.1853441971
335	0.1848243835
336	0.1843398879
337	0.1838624294
338	0.1834618697
339	0.1833061639
340	0.1830517806
341	0.182237851
342	0.1816858109
343	0.1811319744
344	0.1807578999
345	0.1804711473
346	0.1797881521
347	0.1788409689
348	0.177848533
349	0.1770970237
350	0.1769021615
351	0.1760034229
352	0.175123934
353	0.1748652106
354	0.1742710414
355	0.1736162698
356	0.1734044312
357	0.1732215536
358	0.1725139891
359	0.1722378791
360	0.1720841588
361	0.1719053742
362	0.171574739
363	0.1710503042
364	0.1706028993
365	0.1703455792
366	0.1695881189
367	0.1693466509
368	0.1688046451
369	0.1682764815
370	0.1680368086
371	0.1672660005
372	0.1665576904
373	0.1660155717
374	0.165807635
375	0.1655242062
376	0.165244248
377	0.1647145533
378	0.1641977824
379	0.1636097788
380	0.1633035645
381	0.1625774393
382	0.1614708038
383	0.1613539998
384	0.1610021425
385	0.1604465284
386	0.1603031512
387	0.1599616751
388	0.1593384304
389	0.1588386022
390	0.1585861901
391	0.158306538
392	0.1573507183
393	0.1566326564
394	0.1564552908
395	0.1556520443
396	0.1553369575
397	0.154967448
398	0.1539753983
399	0.1534575669
400	0.1530552691
401	0.1520016806
402	0.1513467602
403	0.1512573278
404	0.1510105312
405	0.1506534837
406	0.150554862
407	0.1502118589
408	0.149895669
409	0.1495262548
410	0.1490885765
411	0.1486329546
412	0.1481375938
413	0.1473074741
414	0.1470558123
415	0.1462448781
416	0.1458077256
417	0.1454313128
418	0.1453670097
419	0.1450031695
420	0.1448265733
421	0.1444694361
422	0.143394046
423	0.143094341
424	0.142435922
425	0.1416212489
426	0.1413122472
427	0.1412227756
428	0.1410802578
429	0.1408513436
430	0.1404911146
431	0.1401393873
432	0.1400692076
433	0.1397532047
434	0.1394333666
435	0.1391353881
436	0.1387522235
437	0.1386027688
438	0.1382100783
439	0.1379246454
440	0.137717594
441	0.1374542072
442	0.1372120223
443	0.1369593044
444	0.1362717307
445	0.1361702825
446	0.1360396687
447	0.1355123813
448	0.1352930905
449	0.1349604463
450	0.1345674742
451	0.1345172612
452	0.1340695383
453	0.1337819072
454	0.1335812314
455	0.1332392976
456	0.1327795202
457	0.1324851649
458	0.1323528411
459	0.1318422191
460	0.1316299411
461	0.1313905851
462	0.1310262103
463	0.1308242834
464	0.1305705455
465	0.1302822475
466	0.1296448022
467	0.1294569689
468	0.1294055483
